,tweet,data,rt,quote
80,@MatheuIan @clarabgs_ @Paulojoao976 @calmagalegaa @Renataexausta O incesto kkkkkkk,2022-03-11 17:12:30+00:00,,
81,"@assumpreto_ @MatheuIan @FelippeRegazio @JuselmaMarques @gabriellimaxx_ continua sendo de milhões, me casei com uma pessoa que se valoriza rapaz kkkkkkk",2022-03-11 17:03:51+00:00,,
82,@gabriellimaxx_ @MatheuIan @FelippeRegazio @assumpreto_ @JuselmaMarques vai te lascar kkkkkk,2022-03-11 17:00:30+00:00,,
83,"@MatheuIan @FelippeRegazio @assumpreto_ @JuselmaMarques @gabriellimaxx_ me lasquei, torcer pro mundo educar kkkkkk",2022-03-11 17:00:21+00:00,,
84,@FelippeRegazio @MatheuIan @assumpreto_ @JuselmaMarques @gabriellimaxx_ vou obedecer só pq meu tcc tá gritando ali pra eu olhar pra ele kkkkk,2022-03-11 16:59:39+00:00,,
85,"Minha Twitter Família:
Pais: @MatheuIan @FelippeRegazio
Cônjuge: @assumpreto_
Filhos: @JuselmaMarques @gabriellimaxx_

via https://t.co/tn6UrzJ0Js

⠀ https://t.co/AdlaOVn9N1",2022-03-11 16:55:29+00:00,,
86,"Eu tô precisando urgentemente de terapia, mas a contratação n chegou ainda então vamos de torcer para n surtar até lá",2022-03-11 16:22:35+00:00,,
87,@sinistramemes parece que essa galera tá fazendo competição de quem consegue ter o pior vice,2022-03-11 00:02:26+00:00,,
88,@omrmatias Tenho que coletar umas menos diretas então,2022-03-08 12:47:07+00:00,,
89,@M4dmari Vou esperar ele vim pra cg e faço isso,2022-03-08 00:05:48+00:00,,
90,"Como não ser direto demais sobre meu interesse pelo boy, mas n arrodear demais e acabar na friendzone?
Google pesquisar",2022-03-07 23:06:11+00:00,,
91,"@JuselmaMarques Eu fiz e também n apareceu, mas eu vi uma pessoa falando nisso no Instagram e me assustei kkkkk",2022-03-07 02:02:36+00:00,,
92,Gente o Instagram tá notificando quem tira print de stories agr????,2022-03-07 01:36:18+00:00,,
93,@Renataexausta Que? A nossa única opção em festas kkkkk! Sempre estive no caminho certo,2022-03-04 11:48:24+00:00,,
94,"@kaiokmo Caralho, parabéns!!",2022-03-03 02:34:16+00:00,,
95,@samapios Eu acredito viu!,2022-03-02 23:06:30+00:00,,
96,"Vou postar uma mais bonitinha aqui, mas vou tirar agr 😭😭😭 https://t.co/Ru1MB9N6BG",2022-03-02 22:25:39+00:00,,
97,Tô com pena de tirar agr https://t.co/bo1i92goeU,2022-03-02 22:24:03+00:00,,
98,Vamos proibir o carnaval e dar feriado para que as aglomerações não aconteçam... https://t.co/0ofmXY7TxX,2022-03-02 12:11:27+00:00,,https://twitter.com/Guerraider/status/1498949340492185605
99,Podem ir na frente lá de casa em Olivedos esse final de semana e comprovar que isso é verdade https://t.co/gixD6omPO8,2022-03-02 02:37:03+00:00,,https://twitter.com/Srtasocorr/status/1498807979130425347
100,"Eu concordo mais que tudo, mas o Rated R sempre será o meu favorito!! https://t.co/HRflkrYxw6",2022-03-01 23:32:33+00:00,,https://twitter.com/RihannaNoBrasil/status/1498626100024459271
101,"Tá tudo muito esquisito.

Tô feliz pq Ross e Rachel deram o primeiro beijo.",2022-03-01 22:53:17+00:00,,
102,@oleolacerda Mulher conte a fofoca completa pelo amor deus!!!,2022-02-26 15:27:32+00:00,,
103,"olhe, uma palhaçada esse negócio de 100 dias letivos nos próximos períodos da UFCG",2022-02-24 01:22:06+00:00,,
104,@assumpreto_ Tás vindo pra cg? Quando?,2022-02-23 02:38:42+00:00,,
105,"EU TENHO A MESMA IDADE QUE OS PERSONAGENS DE FRIENDS NA 1ª TEMPORADA???

Isso explica muita coisa",2022-02-22 02:48:49+00:00,,
106,"@marcosbmf Não faço ideia, só sei que o nome dele era Ricardo",2022-02-22 01:15:57+00:00,,
107,"@Andersonfvidal Não, foi o único contra a resolução que foi aprovada hoje",2022-02-22 01:15:39+00:00,,
108,"@KiwiLover6 Juro, eu fiquei muito passado",2022-02-21 21:48:51+00:00,,
109,"Que surto é essa reunião extraordinária do Colegiado Pleno da ufcg.

Entrei agr e vi uns professor dizendo que vírus era um ser vivo igual uma bactéria, que a vacina cria novas cepas do virus 🤡",2022-02-21 21:15:02+00:00,,
110,"@MatheuIan Sim, o fogo foi muito alto",2022-02-21 17:52:33+00:00,,
111,"@clarabgs_ Amo demais a minha terrinha por isso, o metro quadrado tá muito bem populado por gls",2022-02-21 02:02:29+00:00,,
112,Se tem uma coisa que eu queria q voltasse era o CU https://t.co/d0A7Lo7AXD,2022-02-21 01:47:52+00:00,,https://twitter.com/_Thaynha_/status/1495402279251365894
113,@matheusnotwit Amoo,2022-02-21 01:42:27+00:00,,
114,"@clarabgs_ Vala sério? Eu tô com um crush pesado nele, o narcisismo kkkk",2022-02-21 01:42:07+00:00,,
115,Eu odeio tanto que isso é verdade e comum atualmente https://t.co/fi8lswzqIx,2022-02-20 23:43:33+00:00,,https://twitter.com/Mayanazatz/status/1485022845621182471
116,Estou viciado em Friends e me identificando muito com os personagens. Passado que eu tô nesse momento da minha vida https://t.co/ZNtQEclA5z,2022-02-20 23:39:19+00:00,,
117,"Esse vídeo da Rita me fudeu todinho. A espetacularização do sofrimento se tornou comum demais na minha de gente.  

RITUAIS DE SOFRIMENTO https://t.co/tUNlxMMxJR via @YouTube",2022-02-20 23:28:00+00:00,,
118,@maniacmadonna https://t.co/Wt9OXVqi30,2022-02-15 18:02:31+00:00,,
119,@assumpreto_ Eu nunca tenho filtro. É automático reagir ou comentar o story na hora que eu vejo,2022-02-15 18:01:09+00:00,,
120,@pedrothnb 🤡,2022-02-14 22:30:22+00:00,,
121,a sensação de quase morte com o tanto de coisa que eu tenho que fazer da universidade,2022-02-12 14:23:26+00:00,,
122,"@ISSilva40 Sim sim sim, pense numas descrições meia boca que eu dei pra aqueles grupos",2022-02-12 12:13:21+00:00,,
123,O orgulho que tenho de ser do mesmo país que a @gloriagroove e a @pabllovittar não está escrito!!,2022-02-11 15:41:53+00:00,,
124,"Janeiro de 2023, posse de @LulaOficial eu preciso ver a @gloriagroove cantando #VERMELHO em cima de uma paredão estrondando.",2022-02-11 15:35:30+00:00,,
125,@assumpreto_ O pior que eu achei parecido. Tom Holland é feio,2022-02-05 21:51:39+00:00,,
126,"@carlyjr_ Kkkkkk não amigo, esse negócio faz parte do conteúdo que eu preciso estudar pro meu tcc",2022-02-02 01:57:49+00:00,,
127,Como eu vou alcançar os objetivos do meu projeto Ser Padrão 2022 desse jeito,2022-02-02 01:56:36+00:00,,
128,O bbb vai fuder a minha rotina fitness de caminhar cedo,2022-02-02 01:55:48+00:00,,
129,@matheusnotwit A senhora gosta do golpe,2022-02-02 01:26:46+00:00,,
130,"@carlyjr_ Eu tenho q coletar os tweets da conta, ai ela n pode ser fechada. Depois eu coloco os tweets no modelo treinado e ele mostra quais foram considerados tóxicos.",2022-02-02 01:25:36+00:00,,
